Date,Number of New Cases,Number of New Cases w/o Social Distancing
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,2,2.5
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,1,1.25
2020-03-07,2,2.5
2020-03-08,0,0
2020-03-09,5,6.25
2020-03-10,7,8.75
2020-03-11,6,7.5
2020-03-12,9,11.25
2020-03-13,11,13.75
2020-03-14,31,38.75
2020-03-15,26,32.5
2020-03-16,22,27.5
2020-03-17,25,31.25
2020-03-18,53,66.25
2020-03-19,97,121.25
2020-03-20,202,252.5
2020-03-21,76,95
2020-03-22,71,88.75
2020-03-23,151,188.75
2020-03-24,261,326.25
2020-03-25,229,286.25
2020-03-26,286,357.5
2020-03-27,491,613.75
2020-03-28,371,463.75
2020-03-29,296,370
2020-03-30,164,205
2020-03-31,1145,1431.25
2020-04-01,737,921.25
2020-04-02,734,917.5
2020-04-03,504,630
2020-04-04,346,432.5
2020-04-05,497,621.25
2020-04-06,685,856.25
2020-04-07,1608,2010
2020-04-08,1112,1390
2020-04-09,682,852.5
2020-04-10,956,1195
2020-04-11,687,858.75
2020-04-12,297,371.25
2020-04-13,895,1118.75
2020-04-14,1323,1653.75
2020-04-15,436,545
2020-04-16,717,896.25
2020-04-17,1588,1985
2020-04-18,498,622.5
2020-04-19,646,807.5
2020-04-20,1194,1492.5
2020-04-21,497,621.25
2020-04-22,1383,1728.75
2020-04-23,702,877.5
2020-04-24,626,782.5
2020-04-25,739,923.75
2020-04-26,273,341.25
2020-04-27,895,1118.75
2020-04-28,661,826.25
2020-04-29,918,1147.5
2020-04-30,520,650
2020-05-01,1262,1577.5
2020-05-02,850,1062.5
2020-05-03,341,426.25
2020-05-04,848,1060
2020-05-05,600,750
2020-05-06,773,966.25
2020-05-07,903,1128.75
2020-05-08,608,760